ts,engine,label,input_path,repeat,tokens,compute_mean_s,compute_ci95_s,compute_tokens_per_s,e2e_mean_s,e2e_ci95_s,e2e_tokens_per_s
2025-09-16T09:36:32.331693,java,large,data_parquet_big/,5,175583276,0.1187,0.0535,1479609599.17,44.6465,1.9564,3932748.34
2025-09-16T09:38:33.002883,java,small,data_parquet/,5,807607,0.0678,0.0092,11913057.61,1.8262,0.3857,442230.84
2025-09-16T09:41:01.127020,py,small,data_parquet/,5,807607,0.0685,0.013,11785167.01,18.957,1.8629,42601.97
2025-09-16T09:51:34.312222,java,large,data_parquet_big/,5,175583276,,,,43.2677,1.953,4058063.56
2025-09-16T09:52:22.799788,java,small,data_parquet/,5,807607,,,,1.3686,1.2722,590084.29
2025-09-16T10:00:56.707535,cuda,large,data_parquet_big/,5,175583276,,,,4.9088,1.3684,35769242.89
2025-09-16T10:03:09.497419,cuda,small,data_parquet/,5,807607,,,,0.4821,0.5734,1675326.79
2025-09-16T10:55:49.786682,py,large,data_parquet_big/,5,175583276,,,,592.9889,2.7654,296098.74
2025-09-16T10:05:25.617018,py,small,data_parquet/,5,807607,,,,18.9811,1.384,42548.03
2025-09-16T11:52:34.644599,cuda,large,data_parquet_big/,5,175583276,,,,5.5384,2.3647,31702629.0
2025-09-17T22:41:41.769994,cuda,large,data_parquet_big/,5,175583276,,,,5.6163,1.6541,31263306.09
2025-09-17T22:43:03.157988,cuda,large,data_parquet_big/,5,175583276,,,,5.2127,0.1891,33683956.31
